Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Dickson Abiama,ng NGA,FW,Greuther Fürth,24,1998,13,5,533,5.9,3,1,4,3,0,0,1,0,2.6,2.6,0.4,3.0,12,15,38,0.51,0.17,0.68,0.51,0.68,0.44,0.07,0.51,0.44,0.51
Dickson Abiama,ng NGA,"FW,MF",Kaiserslautern,24,1998,13,0,247,2.7,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,11,5,20,0.00,0.00,0.00,0.00,0.00,0.19,0.11,0.29,0.19,0.29
Ragnar Ache,de GER,FW,Kaiserslautern,25,1998,26,22,"1,783",19.8,16,0,16,16,0,0,0,0,12.7,12.7,1.1,13.8,20,21,77,0.81,0.00,0.81,0.81,0.81,0.64,0.05,0.70,0.64,0.70
Aremu Afeez,ng NGA,"MF,FW",Kaiserslautern,23,1999,5,0,56,0.6,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,25,1998,31,27,"2,201",24.5,9,3,12,9,0,0,4,0,4.9,4.9,2.8,7.7,83,59,211,0.37,0.12,0.49,0.37,0.49,0.20,0.11,0.32,0.20,0.32
Nikolas Agrafiotis,nl NED,"FW,DF",Wehen,23,2000,12,5,434,4.8,1,0,1,1,0,0,0,0,1.4,1.4,0.2,1.6,2,10,30,0.21,0.00,0.21,0.21,0.21,0.29,0.04,0.33,0.29,0.33
Andreas Albers,dk DEN,"FW,MF",St. Pauli,33,1990,17,3,430,4.8,1,0,1,1,0,0,0,0,1.7,1.7,0.3,1.9,3,4,33,0.21,0.00,0.21,0.21,0.21,0.35,0.06,0.40,0.35,0.40
Xavier Amaechi,eng ENG,"MF,FW",Magdeburg,22,2001,16,9,699,7.8,1,1,2,1,0,0,2,0,0.7,0.7,2.3,3.0,31,31,86,0.13,0.13,0.26,0.13,0.26,0.09,0.29,0.39,0.09,0.39
Stephan Ambrosius,gh GHA,DF,Hamburger SV,24,1998,18,12,"1,207",13.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,9,51,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Etienne Amenyido,tg TOG,"FW,MF",St. Pauli,25,1998,19,0,198,2.2,1,2,3,1,0,0,1,0,0.4,0.4,0.6,1.0,12,12,31,0.45,0.91,1.36,0.45,1.36,0.18,0.26,0.44,0.18,0.44
Youssef Amyn,iq IRQ,"FW,MF",Braunschweig,19,2003,9,2,328,3.6,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,10,24,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14
Sebastian Andersson,se SWE,FW,Nürnberg,32,1991,15,11,945,10.5,2,1,3,2,0,0,1,0,3.0,3.0,0.8,3.8,3,12,43,0.19,0.10,0.29,0.19,0.29,0.28,0.07,0.36,0.28,0.36
Thanasis Androutsos,gr GRE,"DF,MF",Osnabrück,26,1997,13,8,722,8.0,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.3,17,51,31,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03
Martin Angha,ch SUI,DF,Wehen,29,1994,24,22,"2,019",22.4,0,0,0,0,0,0,8,1,1.0,1.0,1.2,2.2,8,62,13,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10
Ilyas Ansah,de GER,"FW,MF",Paderborn 07,18,2004,24,14,"1,212",13.5,1,2,3,1,0,0,3,0,2.2,2.2,2.5,4.8,32,19,93,0.07,0.15,0.22,0.07,0.22,0.17,0.19,0.36,0.17,0.36
Nico Antonitsch,at AUT,DF,Elversberg,31,1991,3,0,87,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19
Shinta Appelkamp,de GER,"MF,FW",Düsseldorf,22,2000,25,19,"1,701",18.9,3,10,13,3,0,0,0,0,1.6,1.6,5.4,7.0,28,88,84,0.16,0.53,0.69,0.16,0.69,0.09,0.28,0.37,0.09,0.37
Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,23,2000,17,8,770,8.6,5,2,7,5,0,0,2,0,3.7,3.7,0.4,4.2,15,21,66,0.58,0.23,0.82,0.58,0.82,0.44,0.05,0.49,0.44,0.49
Bright Arrey-Mbi,de GER,DF,Hannover 96,20,2003,32,28,"2,456",27.3,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.4,29,82,23,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Ahmet Arslan,de GER,"MF,FW",Magdeburg,29,1994,9,3,252,2.8,2,1,3,2,0,0,2,0,1.6,1.6,0.2,1.8,7,23,19,0.71,0.36,1.07,0.71,1.07,0.57,0.08,0.65,0.57,0.65
Simon Asta,de GER,DF,Greuther Fürth,22,2001,32,32,"2,650",29.4,2,4,6,2,0,0,5,0,1.4,1.4,2.4,3.8,57,91,157,0.07,0.14,0.20,0.07,0.20,0.05,0.08,0.13,0.05,0.13
Barış Atik,de GER,"FW,MF",Magdeburg,28,1995,33,33,"2,827",31.4,4,10,14,4,0,0,10,0,5.4,5.4,9.7,15.1,107,187,298,0.13,0.32,0.45,0.13,0.45,0.17,0.31,0.48,0.17,0.48
Janik Bachmann,de GER,"MF,DF",Hansa Rostock,27,1996,21,16,"1,368",15.2,0,0,0,0,0,0,2,0,1.3,1.3,0.3,1.6,3,23,16,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10
Aurel Badji Wagbe,de GER,DF,Holstein Kiel,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Florian Bähr,de GER,"DF,MF",Osnabrück,20,2003,5,0,47,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,2,1,1,0.00,0.00,0.00,0.00,0.00,0.05,0.25,0.30,0.05,0.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Banks,sct SCO,FW,St. Pauli,21,2001,4,0,70,0.8,0,1,1,0,0,0,1,0,0.1,0.1,0.6,0.6,3,1,4,0.00,1.29,1.29,0.00,1.29,0.09,0.72,0.81,0.09,0.81
Aymen Barkok,ma MAR,MF,Hertha BSC,25,1998,12,10,842,9.4,1,0,1,1,0,0,2,0,1.6,1.6,0.3,1.9,19,40,19,0.11,0.00,0.11,0.11,0.11,0.17,0.03,0.20,0.17,0.20
Nick Bätzner,de GER,MF,Wehen,23,2000,24,18,"1,544",17.2,1,1,2,1,0,0,3,0,2.6,2.6,1.1,3.7,30,77,83,0.06,0.06,0.12,0.06,0.12,0.15,0.06,0.22,0.15,0.22
Timo Baumgartl,de GER,DF,Schalke 04,27,1996,12,11,940,10.4,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,7,53,7,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
Timo Becker,de GER,"DF,MF",Holstein Kiel,26,1997,28,26,"2,274",25.3,7,3,10,6,1,1,3,0,4.2,3.4,1.6,5.0,28,68,68,0.28,0.12,0.40,0.24,0.36,0.17,0.06,0.23,0.14,0.20
Timo Beermann,de GER,DF,Osnabrück,32,1990,6,6,459,5.1,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,19,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Brian Behrendt,de GER,DF,Braunschweig,31,1991,6,6,539,6.0,0,0,0,0,0,0,2,1,0.3,0.3,0.2,0.5,3,21,0,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
Marcel Beifus,de GER,DF,Karlsruher,20,2002,21,13,"1,214",13.5,1,0,1,1,0,0,1,0,0.8,0.8,0.1,0.8,6,42,4,0.07,0.00,0.07,0.07,0.07,0.06,0.00,0.06,0.06,0.06
Leon Bell Bell,cm CMR,"DF,MF",Magdeburg,26,1996,29,28,"2,331",25.9,1,1,2,1,0,0,6,0,1.1,1.1,1.9,3.0,57,94,136,0.04,0.04,0.08,0.04,0.08,0.04,0.07,0.12,0.04,0.12
Louey Ben Farhat,de GER,MF,Karlsruher,17,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
László Bénes,sk SVK,"MF,FW",Hamburger SV,25,1997,27,26,"2,288",25.4,13,11,24,10,3,4,4,1,11.6,8.6,8.5,17.0,45,124,163,0.51,0.43,0.94,0.39,0.83,0.46,0.33,0.79,0.34,0.67
Keanan Bennetts,eng ENG,"DF,FW",Wehen,24,1999,9,3,342,3.8,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,14,16,18,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08
Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,24,1998,13,10,912,10.1,4,0,4,4,0,0,2,0,3.2,3.2,0.6,3.8,21,24,72,0.39,0.00,0.39,0.39,0.39,0.32,0.06,0.38,0.32,0.38
Max Besuschkow,de GER,MF,Hannover 96,26,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Ermin Bičakčić,ba BIH,DF,Braunschweig,33,1990,22,21,"1,869",20.8,4,0,4,4,0,0,6,0,2.4,2.4,1.1,3.5,8,29,2,0.19,0.00,0.19,0.19,0.19,0.12,0.05,0.17,0.12,0.17
Filip Bilbija,de GER,"MF,FW",Paderborn 07,23,2000,27,25,"2,020",22.4,5,5,10,5,0,0,4,1,8.8,8.8,3.8,12.6,66,64,120,0.22,0.22,0.45,0.22,0.45,0.39,0.17,0.56,0.39,0.56
Herbert Bockhorn,de GER,"DF,MF",Magdeburg,28,1995,28,24,"2,272",25.2,3,2,5,3,0,0,7,0,2.1,2.1,2.2,4.3,84,107,193,0.12,0.08,0.20,0.12,0.20,0.08,0.09,0.17,0.08,0.17
