Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Samuel Abifade,de GER,MF,SV Waldhof,23,1999,31,16,"1,581",17.6,3,2,5,3,0,0,6,1,0.17,0.11,0.28,0.17,0.28
Junior Adamu,at AUT,"MF,FW",SC Freiburg II,22,2001,2,2,148,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Emanuel Adou,de GER,MF,Lübeck,21,2002,8,1,140,1.6,1,0,1,1,0,0,1,0,0.64,0.00,0.64,0.64,0.64
Gibson Adu,de GER,FW,Unterhaching,15,2008,10,0,112,1.2,1,0,1,1,0,0,0,0,0.80,0.00,0.80,0.80,0.80
Prince Adu-Addae Aning,nl NED,DF,Dortmund II,19,2004,7,2,244,2.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
Lukas Ahrend,de GER,MF,Ulm,23,2000,26,7,818,9.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Antonis Aidonis,de GER,DF,Dortmund II,22,2001,14,13,"1,091",12.1,1,3,4,1,0,0,4,0,0.08,0.25,0.33,0.08,0.33
Marvin Ajani,de GER,DF,Hallescher,29,1993,10,1,210,2.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Cyrill Akono,de GER,FW,Lübeck,23,2000,29,16,"1,376",15.3,3,0,3,3,0,0,4,0,0.20,0.00,0.20,0.20,0.20
Madeno Albenas,fr FRA,DF,SV Waldhof,21,2002,9,7,471,5.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ben Alexander Voll,de GER,GK,Viktoria Köln,22,2000,32,32,"2,880",32.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Felix Allgaier,de GER,"MF,DF",SC Freiburg II,20,2003,9,3,342,3.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Bastian Allgeier,de GER,MF,Ulm,21,2002,31,29,"2,626",29.2,2,2,4,2,0,0,2,0,0.07,0.07,0.14,0.07,0.14
Lukáš Ambros,cz CZE,"MF,FW",SC Freiburg II,19,2004,29,22,"1,844",20.5,1,2,3,1,0,0,5,1,0.05,0.10,0.15,0.05,0.15
Hamza Anhari,de GER,MF,MSV Duisburg,19,2004,10,0,140,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tobias Anselm,at AUT,MF,Viktoria Köln,23,2000,10,0,227,2.5,2,0,2,2,0,0,0,0,0.79,0.00,0.79,0.79,0.79
Niclas Anspach,de GER,MF,Jahn R'burg,23,2000,14,5,473,5.3,0,1,1,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19
Kelvin Arase,at AUT,MF,SV Waldhof,24,1999,31,23,"2,061",22.9,2,2,4,2,0,0,10,0,0.09,0.09,0.17,0.09,0.17
Ahmet Arslan,de GER,MF,Dresden,29,1994,13,5,625,6.9,0,2,2,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29
Ayman Azhil,ma MAR,MF,Dortmund II,22,2001,28,25,"2,174",24.2,5,3,8,5,0,0,11,0,0.21,0.12,0.33,0.21,0.33
Tom Baack,de GER,"MF,DF",Verl,24,1999,36,30,"2,615",29.1,1,0,1,1,0,0,2,0,0.03,0.00,0.03,0.03,0.03
Marvin Bakalorz,de GER,"MF,DF",MSV Duisburg,33,1989,14,7,701,7.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Alaa Bakir,jo JOR,MF,MSV Duisburg,22,2001,16,2,507,5.6,2,1,3,2,0,0,4,0,0.36,0.18,0.53,0.36,0.53
Florian Ballas,de GER,DF,Jahn R'burg,30,1993,25,23,"2,045",22.7,2,1,3,2,0,0,3,0,0.09,0.04,0.13,0.09,0.13
Samuel Bamba,de GER,"FW,MF",Dortmund II,19,2004,21,3,534,5.9,1,0,1,1,0,0,4,1,0.17,0.00,0.17,0.17,0.17
,,,,,,,,,,,,,,,,,,,,,,
Moritz Bangerter,de GER,MF,1860 Munich,18,2004,3,2,122,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marcel Bär,de GER,FW,Erzgebirge Aue,31,1992,30,28,"2,310",25.7,13,1,14,13,0,0,3,0,0.51,0.04,0.55,0.51,0.55
Jan-Christoph Bartels,de GER,GK,SV Waldhof,24,1999,11,11,924,10.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Anthony Barylla,de GER,DF,Erzgebirge Aue,26,1997,21,21,"1,883",20.9,0,1,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05
Felix Bastians,de GER,DF,Rot-Weiss Essen,35,1988,6,5,401,4.5,1,0,1,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22
Oliver Batista-Meier,de GER,"MF,FW",Verl,22,2001,20,17,"1,617",18.0,9,9,18,8,1,1,1,0,0.50,0.50,1.00,0.45,0.95
Malik Batmaz,de GER,FW,Preußen Münster,23,2000,38,34,"2,644",29.4,17,3,20,17,0,0,4,0,0.58,0.10,0.68,0.58,0.68
Benedikt Bauer,de GER,DF,Unterhaching,19,2003,9,7,600,6.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Jonas Bauer,de GER,MF,Jahn R'burg,19,2003,14,4,405,4.5,1,0,1,1,0,0,3,0,0.22,0.00,0.22,0.22,0.22
Dominic Baumann,de GER,FW,Hallescher,28,1995,37,36,"2,990",33.2,15,0,15,12,3,4,3,0,0.45,0.00,0.45,0.36,0.36
Tom Baumgart,de GER,"MF,DF",Hallescher,25,1997,23,9,913,10.1,2,1,3,2,0,0,5,0,0.20,0.10,0.30,0.20,0.30
Mika Baur,de GER,"MF,FW",SC Freiburg II,19,2004,30,29,"2,470",27.4,1,5,6,1,0,0,6,1,0.04,0.18,0.22,0.04,0.22
Bentley Baxter Bahn,de GER,MF,SV Waldhof,30,1992,32,30,"2,614",29.0,5,1,6,3,2,2,9,0,0.17,0.03,0.21,0.10,0.14
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Arminia,26,1996,9,6,501,5.6,1,1,2,1,0,0,2,0,0.18,0.18,0.36,0.18,0.36
Luca Bazzoli,de GER,MF,Preußen Münster,22,2000,34,34,"2,901",32.2,1,2,3,1,0,0,9,0,0.03,0.06,0.09,0.03,0.09
André Becker,de GER,FW,Viktoria Köln,27,1996,34,24,"2,273",25.3,10,3,13,9,1,1,3,0,0.40,0.12,0.51,0.36,0.48
Dominik Becker,de GER,DF,Saarbrücken,23,2000,25,16,"1,597",17.7,3,1,4,3,0,0,1,0,0.17,0.06,0.23,0.17,0.23
Robin Becker,de GER,DF,Saarbrücken,26,1997,12,5,449,5.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Brian Behrendt,de GER,DF,Hallescher,31,1991,12,12,"1,013",11.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
