Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,24,5,726,8.1,0,1,1,0,0,0,3,0,1.8,1.8,1.3,3.2,14,17,38,0.00,0.12,0.12,0.00,0.12,0.23,0.16,0.39,0.23,0.39
Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,13,1,259,2.9,0,1,1,0,0,0,0,0,0.4,0.4,0.4,0.9,8,2,29,0.00,0.35,0.35,0.00,0.35,0.14,0.16,0.30,0.14,0.30
Tyler Adams,us USA,MF,RB Leipzig,22,1999,24,12,"1,351",15.0,0,1,1,0,0,0,5,0,0.2,0.2,0.9,1.0,20,96,23,0.00,0.07,0.07,0.00,0.07,0.01,0.06,0.07,0.01,0.07
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,13,2,331,3.7,1,0,1,1,0,0,0,0,0.7,0.7,0.5,1.2,9,9,26,0.27,0.00,0.27,0.27,0.27,0.18,0.14,0.31,0.18,0.31
Amine Adli,ma MAR,"FW,MF",Leverkusen,21,2000,25,13,"1,256",14.0,3,2,5,3,0,0,3,0,4.3,4.3,2.1,6.4,51,56,105,0.21,0.14,0.36,0.21,0.36,0.31,0.15,0.46,0.31,0.46
Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Manuel Akanji,ch SUI,DF,Dortmund,26,1995,26,25,"2,261",25.1,1,0,1,1,0,0,3,0,1.9,1.9,0.1,2.0,18,115,8,0.04,0.00,0.04,0.04,0.04,0.08,0.00,0.08,0.08,0.08
Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,26,1995,26,19,"1,527",17.0,2,2,4,2,0,0,5,0,1.2,1.2,2.6,3.8,36,87,40,0.12,0.12,0.24,0.12,0.24,0.07,0.15,0.22,0.07,0.22
Lucas Alario,ar ARG,FW,Leverkusen,28,1992,27,5,655,7.3,6,0,6,6,0,1,2,0,6.0,5.2,1.0,6.2,6,10,44,0.82,0.00,0.82,0.82,0.82,0.82,0.14,0.96,0.71,0.85
Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,13,3,369,4.1,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,17,21,29,0.24,0.00,0.24,0.24,0.24,0.11,0.08,0.19,0.11,0.19
Sebastian Andersson,se SWE,FW,Köln,30,1991,26,13,"1,257",14.0,3,1,4,3,0,0,3,0,4.5,4.5,1.0,5.5,10,14,86,0.21,0.07,0.29,0.21,0.29,0.32,0.07,0.39,0.32,0.39
Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,17,12,"1,046",11.6,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.4,18,44,15,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04
Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,9,2,353,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,11,18,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Robert Andrich,de GER,MF,Leverkusen,26,1994,26,21,"1,817",20.2,4,2,6,4,0,0,5,1,3.2,2.8,1.5,4.3,19,100,27,0.20,0.10,0.30,0.20,0.30,0.16,0.08,0.23,0.14,0.21
Angeliño,es ESP,DF,RB Leipzig,24,1997,29,26,"2,298",25.5,2,5,7,2,0,0,3,0,1.2,1.2,5.2,6.4,35,73,177,0.08,0.20,0.27,0.08,0.27,0.05,0.20,0.25,0.05,0.25
Waldemar Anton,de GER,DF,Stuttgart,25,1996,29,29,"2,595",28.8,2,1,3,2,0,0,6,1,2.1,2.1,1.4,3.5,26,108,12,0.07,0.03,0.10,0.07,0.10,0.07,0.05,0.12,0.07,0.12
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,25,12,"1,130",12.6,1,1,2,1,0,0,2,0,2.0,2.0,1.0,3.1,35,22,85,0.08,0.08,0.16,0.08,0.16,0.18,0.09,0.26,0.18,0.26
Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,26,16,"1,578",17.5,1,4,5,1,0,0,2,0,1.6,1.6,0.9,2.5,6,96,14,0.06,0.23,0.29,0.06,0.29,0.09,0.05,0.14,0.09,0.14
Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,34,34,"2,994",33.3,4,2,6,4,0,0,4,0,1.7,1.7,4.7,6.4,18,171,24,0.12,0.06,0.18,0.12,0.18,0.05,0.14,0.19,0.05,0.19
Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,27,20,"1,608",17.9,3,4,7,3,0,0,1,0,3.7,3.7,1.9,5.7,48,40,109,0.17,0.22,0.39,0.17,0.39,0.21,0.11,0.32,0.21,0.32
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,28,27,"2,375",26.4,0,1,1,0,0,0,5,0,0.9,0.9,0.5,1.4,13,86,20,0.00,0.04,0.04,0.00,0.04,0.03,0.02,0.05,0.03,0.05
Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,18,2002,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Simon Asta,de GER,DF,Greuther Fürth,20,2001,13,9,783,8.7,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.6,7,25,37,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.06,0.03,0.06
Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,31,29,"2,174",24.2,15,1,16,13,2,2,1,0,13.6,12.0,2.4,14.4,36,51,171,0.62,0.04,0.66,0.54,0.58,0.56,0.10,0.66,0.50,0.60
Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,26,1995,9,4,359,4.0,1,1,2,1,0,0,0,0,2.9,2.9,0.7,3.6,8,18,22,0.25,0.25,0.50,0.25,0.50,0.74,0.17,0.90,0.74,0.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchel Bakker,nl NED,DF,Leverkusen,21,2000,25,19,"1,822",20.2,1,4,5,1,0,0,6,0,0.4,0.4,2.0,2.4,38,77,95,0.05,0.20,0.25,0.05,0.25,0.02,0.10,0.12,0.02,0.12
Ridle Baku,de GER,"DF,FW",Wolfsburg,23,1998,34,28,"2,446",27.2,3,5,8,3,0,0,4,0,1.8,1.8,5.3,7.1,74,104,171,0.11,0.18,0.29,0.11,0.29,0.07,0.19,0.26,0.07,0.26
Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,23,1998,5,2,160,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,9,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21,2000,31,20,"1,789",19.9,1,2,3,1,0,0,3,0,2.5,2.5,2.7,5.1,15,54,53,0.05,0.10,0.15,0.05,0.15,0.12,0.14,0.26,0.12,0.26
Jacob Barrett Laursen,dk DEN,DF,Arminia,26,1994,24,20,"1,632",18.1,2,0,2,2,0,0,1,0,0.2,0.2,0.4,0.7,25,42,24,0.11,0.00,0.11,0.11,0.11,0.01,0.02,0.04,0.01,0.04
Abdourahmane Barry,gn GUI,DF,Greuther Fürth,21,2000,8,1,210,2.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,3,8,12,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Maximilian Bauer,de GER,DF,Greuther Fürth,21,2000,26,18,"1,690",18.8,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,4,27,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33,33,"2,970",33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Timo Baumgartl,de GER,DF,Union Berlin,25,1996,25,25,"2,166",24.1,1,2,3,1,0,0,5,0,1.5,1.5,1.0,2.5,7,103,14,0.04,0.08,0.12,0.04,0.12,0.06,0.04,0.10,0.06,0.10
Julian Baumgartlinger,at AUT,"MF,FW",Leverkusen,33,1988,6,1,88,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21,1999,29,23,"1,888",21.0,7,2,9,7,0,0,5,0,7.0,7.0,3.7,10.8,34,83,116,0.33,0.10,0.43,0.33,0.43,0.33,0.18,0.51,0.33,0.51
Noah Joel Sarenren Bazee,ng NGA,"MF,FW",Augsburg,24,1996,14,1,241,2.7,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.8,10,5,26,0.37,0.00,0.37,0.37,0.37,0.22,0.09,0.31,0.22,0.31
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,27,1994,28,25,"2,091",23.2,7,2,9,7,0,0,0,0,9.4,9.4,1.6,11.0,48,55,166,0.30,0.09,0.39,0.30,0.39,0.41,0.07,0.47,0.41,0.47
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,26,1995,28,22,"1,758",19.5,4,6,10,4,0,0,4,0,2.4,2.4,6.8,9.1,82,58,195,0.20,0.31,0.51,0.20,0.51,0.12,0.35,0.47,0.12,0.47
Kevin Behrens,de GER,FW,Union Berlin,30,1991,24,2,499,5.5,2,2,4,2,0,0,1,0,2.4,2.4,1.6,4.0,9,16,48,0.36,0.36,0.72,0.36,0.72,0.44,0.29,0.73,0.44,0.73
Ishak Belfodil,dz ALG,FW,Hertha BSC,29,1992,26,17,"1,636",18.2,5,2,7,4,1,1,1,0,3.7,3.0,2.2,5.2,35,34,129,0.28,0.11,0.39,0.22,0.33,0.21,0.12,0.33,0.16,0.28
Stefan Bell,de GER,DF,Mainz 05,29,1991,33,33,"2,864",31.8,2,0,2,2,0,0,9,0,1.7,1.7,1.4,3.1,13,93,15,0.06,0.00,0.06,0.06,0.06,0.05,0.04,0.10,0.05,0.10
Armel Bella Kotchap,de GER,DF,Bochum,19,2001,22,20,"1,768",19.6,0,0,0,0,0,0,5,0,0.6,0.6,0.1,0.6,9,37,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Karim Bellarabi,de GER,"FW,MF",Leverkusen,31,1990,16,9,683,7.6,3,2,5,3,0,0,2,0,2.0,2.0,1.2,3.2,24,17,69,0.40,0.26,0.66,0.40,0.66,0.27,0.15,0.42,0.27,0.42
Jude Bellingham,eng ENG,MF,Dortmund,18,2003,32,32,"2,790",31.0,3,8,11,3,0,0,9,0,4.8,4.8,6.0,10.8,78,144,138,0.10,0.26,0.35,0.10,0.35,0.15,0.19,0.35,0.15,0.35
George Bello,us USA,DF,Arminia,19,2002,10,3,434,4.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,9,13,18,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
László Bénes,sk SVK,MF,Gladbach,23,1997,13,2,246,2.7,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.2,6,13,9,0.00,0.00,0.00,0.00,0.00,0.21,0.23,0.44,0.21,0.44
Keanan Bennetts,eng ENG,"FW,DF",Gladbach,22,1999,4,0,50,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,0,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Ramy Bensebaini,dz ALG,DF,Gladbach,26,1995,23,22,"2,020",22.4,4,1,5,2,2,2,6,0,3.7,2.1,0.9,3.0,26,72,66,0.18,0.04,0.22,0.09,0.13,0.17,0.04,0.22,0.10,0.14
Jordan Beyer,de GER,DF,Gladbach,21,2000,17,15,"1,384",15.4,0,0,0,0,0,0,5,0,0.6,0.6,0.3,0.9,25,46,30,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.07,0.04,0.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartosz Białek,pl POL,"FW,DF",Wolfsburg,19,2001,12,1,178,2.0,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,1,4,14,0.00,0.00,0.00,0.00,0.00,0.19,0.06,0.24,0.19,0.24
Ermin Bičakčić,ba BIH,DF,Hoffenheim,31,1990,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tom Bischof,de GER,MF,Hoffenheim,16,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Danny Blum,de GER,FW,Bochum,30,1991,13,2,346,3.8,2,0,2,2,0,0,0,0,0.8,0.8,1.1,1.9,9,10,34,0.52,0.00,0.52,0.52,0.52,0.21,0.29,0.50,0.21,0.50
Kevin-Prince Boateng,gh GHA,"MF,FW",Hertha BSC,34,1987,18,8,696,7.7,0,0,0,0,0,0,8,0,0.3,0.3,0.5,0.8,0,35,21,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10
Herbert Bockhorn,de GER,DF,Bochum,26,1995,18,7,850,9.4,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,31,24,27,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
Jean-Paul Boëtius,nl NED,MF,Mainz 05,27,1994,33,19,"1,800",20.0,2,2,4,2,0,0,3,0,1.0,1.0,2.7,3.7,17,119,49,0.10,0.10,0.20,0.10,0.20,0.05,0.13,0.19,0.05,0.19
Tarsis Bonga,de GER,"MF,FW",Bochum,24,1997,3,0,17,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,2,0.00,0.00,0.00,0.00,0.00,1.24,0.00,1.24,1.24,1.24
Solomon Bonnah,nl NED,DF,RB Leipzig,17,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,22,1999,27,23,"2,007",22.3,1,0,1,1,0,0,4,0,1.1,1.1,0.2,1.3,0,35,5,0.04,0.00,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06
Rafael Borré,co COL,FW,Eint Frankfurt,25,1995,31,28,"2,378",26.4,8,4,12,8,0,0,5,0,7.5,7.5,3.5,11.0,43,60,168,0.30,0.15,0.45,0.30,0.45,0.29,0.13,0.42,0.29,0.42
Dedryck Boyata,be BEL,DF,Hertha BSC,30,1990,23,22,"1,898",21.1,0,0,0,0,0,0,1,1,0.8,0.8,0.2,1.0,4,18,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Julian Brandt,de GER,"MF,FW",Dortmund,25,1996,31,22,"2,078",23.1,9,8,17,9,0,0,3,0,4.9,4.9,4.6,9.4,66,126,171,0.39,0.35,0.74,0.39,0.74,0.21,0.20,0.41,0.21,0.41
Iker Bravo,es ESP,FW,Leverkusen,16,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fabian Bredlow,de GER,GK,Stuttgart,26,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Josip Brekalo,hr CRO,FW,Wolfsburg,23,1998,1,0,21,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,0,1,3,0.00,4.29,4.29,0.00,4.29,0.00,1.50,1.50,0.00,1.50
Brian Brobbey,nl NED,"FW,MF",RB Leipzig,19,2002,9,1,131,1.5,0,2,2,0,0,0,0,0,0.6,0.6,0.7,1.4,1,2,12,0.00,1.37,1.37,0.00,1.37,0.42,0.51,0.93,0.42,0.93
John Brooks,us USA,DF,Wolfsburg,28,1993,31,29,"2,615",29.1,1,1,2,1,0,0,2,0,0.7,0.7,0.4,1.1,22,130,4,0.03,0.03,0.07,0.03,0.07,0.02,0.02,0.04,0.02,0.04
Daniel Brosinski,de GER,DF,Mainz 05,33,1988,11,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,9,21,24,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14
Cédric Brunner,ch SUI,DF,Arminia,27,1994,27,26,"2,183",24.3,0,1,1,0,0,0,6,0,0.2,0.2,1.2,1.5,23,82,45,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.06,0.01,0.06
Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,22,1998,25,9,812,9.0,4,0,4,4,0,0,1,0,2.8,2.8,2.0,4.8,31,27,106,0.44,0.00,0.44,0.44,0.44,0.31,0.22,0.53,0.31,0.53
Sascha Burchert,de GER,GK,Greuther Fürth,31,1989,14,14,"1,260",14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Delano Burgzorg,nl NED,MF,Mainz 05,22,1998,3,0,27,0.3,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,0,3,3.33,0.00,3.33,3.33,3.33,0.85,0.00,0.85,0.85,0.85
Jonathan Burkardt,de GER,"FW,MF",Mainz 05,21,2000,34,32,"2,611",29.0,11,3,14,10,1,1,0,0,12.8,12.0,2.7,14.8,65,64,200,0.38,0.10,0.48,0.34,0.45,0.44,0.09,0.54,0.42,0.51
